@relation DA-TrainingSet

@attribute P string
@attribute P_DESC string
@attribute A0 string
@attribute A0_DESC string
@attribute A1 string
@attribute A1_DESC string
@attribute A2 string
@attribute A2_DESC string
@attribute IO {0,1}
@attribute Input {0,1}
@attribute Entry {0,1}
@attribute Selection {0,1}
@attribute Output {0,1}
@attribute Display {0,1}
@attribute Notification {0,1}
@attribute Data {0,1}
@attribute Read {0,1}
@attribute Single {0,1}
@attribute Multiple {0,1}
@attribute Write {0,1}
@attribute Create {0,1}
@attribute Update {0,1}
@attribute Delete {0,1}
@attribute Process {0,1}
@attribute Calculation {0,1}
@attribute Verification {0,1}
@attribute Communication {0,1}
@attribute Indoor {0,1}
@attribute Outdoor {0,1}
@attribute UseCase {0,1}
@attribute Begin {0,1}
@attribute Flow {0,1}
@attribute End {0,1}
@attribute Noise {0,1}

@data
defined,'assign a label or attribute','','','more than one editor','thing defined','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
acknowledges,admit,System,'admitter, claimer, speaker','successful saving of content','proposition, claim, utterance','','',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out','The Registrar',selector,'Delete a Professor','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
store,store,'The complaint information',storer,'the new information',commodity,'','',0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
specified,'set, establish, decide','','',the,'thing specified','','',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
presented,give,'','','with indicator of credit card on file  using the last four digits of the card number ','thing given','','',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
located,' cause to  be located in','','','the student name','institution, thing located','','',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
teach,' try to  make learn','the course offerings',teacher,'for the upcoming semester',subject,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
occurs,'occur, take place','','','storing the complaint',event,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Raise,'go up quantifiably','','','an error message','Logical subject, patient, thing rising','','',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verifies,'determine truth of a proposition',System,verifier,'that expiration date on credit card has not already passed',verified,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
prompts,'bring about, cause','The system','causer, prompter','the Student','impelled agent','to verify the deletion','impelled action',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
repeated,'say again','','',02-jul,'utterance or action','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out','the student',selector,'maintain schedule','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
query,ask,'','','the disease type','oracle, answerer','','',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
displays,'to present, exhibit','The system','displayer, agent','the list of courses the professor has previously selected to teach','entity displayed','','',1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
queried,ask,'','','The data','oracle, answerer','','',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out','The Student',selector,'the delete schedule activity','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
processed,'do something to','','','all schedules','thing processed','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
begins,start,'','','this use case','Theme -Creation ','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ends,'cause to stop','','','the use case','Thing ending','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
retrieves,'get back','The system',receiver,'the employee details using the login as a unique identifier','thing gotten','','',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
closed,shut,'','','','','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
deletes,remove,'The system','entity removing','the story','thing being removed','','',0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
prompted,'bring about, cause','','',advertiser,'impelled agent','to contact WebNewsOnLine','impelled action',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verified,'determine truth of a proposition','','',employee.,verified,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
re-send,'','The system','','','','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
acknowledges,admit,'The Student','admitter, claimer, speaker','the error message','proposition, claim, utterance','','',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
validated,'to declare or make legally valid','','','pager PIN format','entity validated','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
maintained,'keep  up ','','',Frequencies,'thing maintained','as a reference list',benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
placed,location,'','',Content,'thing put','into the Collegiate Sports Paging System storage for possible paging','where put',0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
validates,'to declare or make legally valid','The system',causer,'the data','entity validated','to insure the proper data format and searches for an existing professor with the specified name','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
attempt,try,'a round-robin approach','Agent Entity Trying','to balance load','thing tried','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out',Advertiser,selector,'one or more pieces of content on which to report','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cancel,'cause to be not valid','The Student',canceller,'the operation, at which point the use case is restarted',cancelled,'','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raise,'go up quantifiably','','','an error message informing the user the complaint does not exist.','Logical subject, patient, thing rising','','',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adding,mathematics,'','','other categories','thing being added','','',0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
acknowledges,admit,'the Student','admitter, claimer, speaker','the message the use case terminates.','proposition, claim, utterance','','',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
added,mathematics,'','','each professor','thing being added','to the system','thing being added to',0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out','The Registrar',selector,'delete student','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marks,signify,'The system',signifier,'the preliminary billing record as approved',signified,'','',0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Steps,'increase incrementally','','','2-7 are repeated for each student the Registrar wants to modify.','thing increasing','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
completed,'bring to an end','','','each of the courses','task, action coming to an end','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
terminates,'end, stop','','','the use case','Thing ending','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
viewed,'assign an attribute to','','','the last date','thing labelled','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alters,transform,'The employee','causer of transformation','the necessary data','thing changing','','',0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fails,'not succeed','','','validation of credit card information','thing failing','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
incrementing,'','','',a,'','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Delete,remove,'','','a Student sub-flows','thing being removed','','',0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
take,'take, acquire, come to have','the Professor',Taker,'the course offerings','thing taken','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
presented,give,'','','The health unit data','thing given','','',1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entered,'submit, cause to enter','by the user',submitter,'The information','thing submitted','','',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raise,'go up quantifiably','','','an error message','Logical subject, patient, thing rising','','',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assigned,'give, associate with','','','At least one category','thing assigned','to the story','assigned to',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ensured,promise,'','','Data consistency cannot',guarantee,'','',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
modifies,change,'The Registrar','causer of transformation','one or more of the professor information fields: name, date of birth, social security number , status, and department','thing changing','','',0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out',Advertiser,selector,'Post Content','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parsed,'','','','The common complaint information','','with the OPENED state','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
removed,remove,'','','the story','thing being removed','from the subscribers archived category','removed from',0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
selecting,'to make a choice, to pick out','','',save,'entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re-posts,'',System,'','the story','','to the list of available content for paging initiation','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
sent,give,'','','The conclusion',sent,'to the server',sent-to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
find,discovery,'the systems',finder,'a schedule conflict','thing found','','',0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
looks,seeming,System,seemer,'email address of customer service','seemed like, attribute of arg0','','',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teach,' try to  make learn','the professor',teacher,courses,subject,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
finished,terminate,'','','deleting professors','thing closing','','',0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
conflict,'to be or come into opposition','the selected offerings','troublesome thing',' ','entity conflicted with','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
shown,'cause to see','','','this ad','thing seen shown','','',1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
describes,'assign a label or attribute','The editor',describer,'the reason for rejection','thing described','','',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saves,'financial sense','The system','entity saving money','the data',money,'','',0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out',Advertiser,selector,'Post Content','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
queried,ask,'','','the specialty','oracle, answerer','','',0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
informing,'cause to know','an error message',informer,'the user the complaint does not exist.',informed,'','',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
presented,give,'','','The list of specialties','thing given','to the user on their local display','given to',1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
occurs,'occur, take place','','','retrieving the employee details',event,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
launches,'introduce, bring up, start',System,'starter, agent','email browser client','thing being launched','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
sends,give,System,sender,' who will receive these as an alphanumeric page ',sent,'to subscribers',sent-to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
selected,'to make a choice, to pick out','','',the,'entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
using,'Take advantage of, utilise','the employee details',User,'the login','thing used','as a unique identifier',purpose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
stored,store,'','','health units',commodity,'','',0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
retrieve,'get back','','','the appropriate information','thing gotten','','',0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out','The Registrar',selector,yes,'entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
included,include,'','','','','in the round-robin process',group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
purged,'to free from impurities, purify','','',content,'entity purged','','',0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
notifies,'tell, alert','The system','notifier, teller','the originator of the content that the story has been rejected and includes the reason provided by the editor','entity notified, told','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
finds,discovery,'the system',finder,'an existing student with the same name an error message is displayed','thing found','','',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
known,understand,'by the Collegiate Sports Paging System',knower,categories,'thing known or thought','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
browser,'','','','window ','','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
verifies,'determine truth of a proposition','The system',verifier,'the entered data',verified,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
executed,enact,'','','The Cancel Course Offering sub-flow','thing done','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
grouped,'put into some group','by health units','agent, entity causing some grouping',specialties,'theme, thing being included in some group','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
made,'earn cash or wages','','','no substitution',wages,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
resolve,'resolve, come to a solution','The professor','entity making resolution','','','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
connected,attach,'','','as an advertiser','patient, thing s  being tied','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Modify,change,'','','a Student','thing changing','','',0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sent,give,'','','The unique identifier representing the disease type to be retrieved',sent,'to the server',sent-to,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
presented,give,'','','The unique identifier','thing given','to the user on their local display','given to',1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
triggers,begin,'The system',Agent,'initiation of paging messages','Theme -Creation ','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
saves,'financial sense','The system','entity saving money','the complaint',money,'','',0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
update,'make more modern','','','employee option','thing becoming more modern','','',0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Modify,change,'','causer of transformation','a Schedule or Delete a Schedule sub-flows the system is unable to retrieve the Students schedule','thing changing','','',0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
displayed,'to present, exhibit','','','a message','entity displayed','to the Student',location,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moved,'change location','','','the story',moved,'into the general category',destination,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cancel,'cause to be not valid','','','the operation',cancelled,'','',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out',User,selector,'Provide Feedback','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
retrieves,'get back','The system',receiver,'a list of all students who were registered for the course offering','thing gotten','','',0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out','The professor',selector,'the course offerings that he she wishes to teach for the upcoming semester','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adding,mathematics,'the Registrar',adder,students,'thing being added','to the system the use case ends.','thing being added to',0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
validated,'to declare or make legally valid','','',User,'entity validated','as an advertiser','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
views,'assign an attribute to','The editor',assigner,'the advertising content','thing labelled','','',1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
updated,'make more modern','','','Health units data','thing becoming more modern','','',0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
finished,terminate,'','','the Registrar','thing closing','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
generate,create,'','','','','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
selected,'to make a choice, to pick out','','','','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
looks,vision,System,looker,'current contract terms and available service options','thing looked at or for or on','','',0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out','The Registrar',selector,delete,'entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verified,'determine truth of a proposition','','',employee.,verified,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
uploads,'',Advertiser,'',content,'','','',1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
sends,give,System,sender,'credit card info',sent,'to external system for charge validation and application',sent-to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
informed,'cause to know','','','the employee cannot',informed,'be inserted',information,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
repeated,'say again','','',02-ago,'utterance or action','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
retrieved,'get back','','','The symptoms for the selected disease type','thing gotten','','',0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
repeated,'say again','','',02-jul,'utterance or action','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selects,'to make a choice, to pick out','The Registrar',selector,'','','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assigned,'give, associate with','','','more than one category','thing assigned','to the story','assigned to',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
offering,transaction,'the course','entity offering','information for each offering the professor selects.',commodity,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
signed,'sign up: enroll, enter','','','to teach the course offering','patient enrolled','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
retrieves,'get back','The system',receiver,'the details of each disease type such as its unique identifier and name','thing gotten','','',0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selected,'to make a choice, to pick out','','',each,'entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sent,give,'','',pages,sent,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cancelled,'','','','the course','','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
sent,give,'','','The unique identifier representing the complaint to be retrieved',sent,'to the server',sent-to,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
selected,'to make a choice, to pick out','System records',selector,'service options.','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indicating,show,'an error message',indicator,'that a schedule conflict has occurred','thing indicated','','',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
described,'assign a label or attribute','','','the one','thing described','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
used,'Take advantage of, utilise','','','this card','thing used','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ends,'cause to stop','the use case','Intentional agent','','','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
sent,give,'','','A unique identifier representing the selected health unit',sent,'to the server',sent-to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
parsed,'','','','The complainers address','','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
communicate,communicate,'the system','first  or all  communicator','','','with the Billing System','other communicator s ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
begins,start,'','','this use case','Theme -Creation ','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
selects,'to make a choice, to pick out','The employee',selector,'the insert employee option.','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
presented,give,'','','The list of health units','thing given','to the user on their local display','given to',1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'he she','','the course offerings','','wishes to teach for the upcoming semester','','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steps,'increase incrementally','','','2-7 are repeated for each professor the Registrar wants to modify.','thing increasing','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
occurs,'occur, take place','','','A communication problem',event,'','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
select,'to make a choice, to pick out','The Student',selector,'a different course offering','entity selected','','',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
